"Index","SMU-1 Time (s)","SMU-1 Voltage (V)","SMU-1 Current (A)"
"308","7.754833","-0.426997423171997","3.38795191900942E-09"
"309","7.779872","-0.477229595184326","4.38237196531688E-10"
"310","7.804911","-0.527507543563843","1.10517739404514E-09"
"311","7.82995","-0.577745914459229","1.38562916696117E-09"
"312","7.854989","-0.628024101257324","-1.28635169183156E-09"
"313","7.880028","-0.678297519683838","-3.35812558316384E-11"
"314","7.905067","-0.728538513183594","-1.51435142203837E-09"
"315","7.930105","-0.778802633285522","-3.52276563475584E-09"
"316","7.955144","-0.829045057296753","-3.24550875063778E-09"
"317","7.980183","-0.879311084747314","-4.5581343144363E-09"
"318","8.005222","-0.929547786712646","-3.69706154579319E-09"
"319","8.030261","-0.979820489883423","-5.21724219382236E-09"
"320","8.0553","-1.03009128570557","-7.27705984360227E-09"
"321","8.080339","-1.08032608032227","-5.52601830960953E-09"
"322","8.105378","-1.13060092926025","-7.24705451204954E-09"
"323","8.130417","-1.18083071708679","-7.57970841647193E-09"
"324","8.155456","-1.23110437393188","-7.41908579016126E-09"
"325","8.180495","-1.28137278556824","-9.13609277120031E-09"
"326","8.205534","-1.33160352706909","-1.02761870124368E-08"
"327","8.230573","-1.38187694549561","-1.06978417235837E-08"
"328","8.255612","-1.43211221694946","-1.02809307733764E-08"
"329","8.28065","-1.48238563537598","-1.17707132929468E-08"
"330","8.305689","-1.53264784812927","-1.18090985878894E-08"
"331","8.330728","-1.58288931846619","-1.36143682993861E-08"
"332","8.355767","-1.63315844535828","-1.42387985846426E-08"
"333","8.380806","-1.68339085578918","-1.38969538099332E-08"
"334","8.405845","-1.73365473747253","-1.36097675351721E-08"
"335","8.430884","-1.78393054008484","-1.51248098489987E-08"
"336","8.455923","-1.83415603637695","-1.56685704411075E-08"
"337","8.480962","-1.88443160057068","-1.6531968682898E-08"
"338","8.506001","-1.93465900421143","-1.69732938815059E-08"
"339","8.53104","-1.98493695259094","-1.81700592349898E-08"
"340","8.556079","-2.03314542770386","-1.85889490467162E-08"
"341","8.581118","-2.08340406417847","-1.84476736109218E-08"
"342","8.606157","-2.1336555480957","-1.88113684629343E-08"
"343","8.631196","-2.1839451789856","-2.07309369670838E-08"
"344","8.656235","-2.23415613174438","-2.09015738050766E-08"
"345","8.681274","-2.28470325469971","-2.12595576698504E-08"
"346","8.706313","-2.3349666595459","-2.21161240432366E-08"
"347","8.731352","-2.38516569137573","-2.21455334070697E-08"
"348","8.756391","-2.43548154830933","-2.34083064043489E-08"
"349","8.78143","-2.48568058013916","-2.21822862300769E-08"
"350","8.806469","-2.5359058380127","-2.31168026942896E-08"
"351","8.831508","-2.58614301681519","-2.40380888527625E-08"
"352","8.856547","-2.63635158538818","-2.51064662393219E-08"
"353","8.881586","-2.68661499023438","-2.51997107625357E-08"
"354","8.906625","-2.73686170578003","-2.63457309301884E-08"
"355","8.931664","-2.78709888458252","-2.64663100324469E-08"
"356","8.956703","-2.83736944198608","-2.686315880851E-08"
"357","8.981742","-2.88758277893066","-2.6985645718014E-08"
"358","9.006781","-2.93780565261841","-2.85480510342495E-08"
"359","9.03182","-2.98808574676514","-2.90197608165954E-08"
"360","9.056859","-3.03856611251831","-3.02191374146332E-08"
"361","9.081898","-3.08884143829346","-3.03700922188455E-08"
"362","9.106937","-3.13911437988281","-3.03907405907466E-08"
"363","9.131976","-3.18931102752686","-3.05155047897188E-08"
"364","9.157015","-3.23958396911621","-3.28115454806266E-08"
"365","9.182054","-3.289794921875","-3.21529753932737E-08"
"366","9.207093","-3.34005355834961","-3.39517001179956E-08"
"367","9.232132","-3.3902907371521","-3.45134871793107E-08"
"368","9.257171","-3.44054460525513","-3.31732046277011E-08"
"369","9.28221","-3.4908127784729","-3.36011645174494E-08"
"370","9.307249","-3.54103565216064","-3.64874139791027E-08"
"371","9.332288","-3.59130144119263","-3.5740686854524E-08"
"372","9.357327","-3.64154577255249","-3.78111479903964E-08"
"373","9.382366","-3.69177579879761","-3.60551020150979E-08"
"374","9.407405","-3.74200344085693","-3.61580845265053E-08"
"375","9.432444","-3.79259347915649","-3.87359015974198E-08"
"376","9.457483","-3.84275436401367","-3.82862559433761E-08"
"377","9.482522","-3.89304161071777","-3.84847780310338E-08"
"378","9.507561","-3.94325256347656","-4.02351858497241E-08"
"379","9.5326","-3.99347543716431","-4.02072330984993E-08"
"380","9.557639","-4.04372692108154","-4.11259293287003E-08"
"381","9.582678","-4.09396648406982","-4.21597263766671E-08"
"382","9.607717","-4.14423942565918","-4.16770227218422E-08"
"383","9.632756","-4.19448614120483","-4.49593322571218E-08"
"384","9.657795","-4.24466848373413","-4.18108214716995E-08"
"385","9.682834","-4.29497718811035","-4.27581774431474E-08"
"386","9.707873","-4.34514284133911","-4.55374014052268E-08"
"387","9.732912","-4.39539194107056","-4.67593679331912E-08"
"388","9.757951","-4.4456672668457","-4.68466900827025E-08"
"389","9.78299","-4.49584245681763","-4.68692533672765E-08"
"390","9.808029","-4.54639434814453","-4.59417961451436E-08"
"391","9.833068","-4.59665775299072","-4.69388616863853E-08"
"392","9.858107","-4.64687347412109","-4.7476639508659E-08"
"393","9.883146","-4.69712972640991","-5.0010573460213E-08"
"394","9.908185","-4.74740505218506","-4.88621481053997E-08"
"395","9.933224","-4.7976541519165","-4.83933568773409E-08"
"396","9.958263","-4.84788656234741","-4.98062959763956E-08"
"397","9.983302","-4.89810705184937","-5.08301276624934E-08"
"398","10.008341","-4.94838237762451","-5.1978648940576E-08"
"399","10.03338","-4.99858617782593","-5.23828376230995E-08"
